date,recession_prob,reprise_prob,boom_prob,ralentissement_prob,cycle_phase,markov_prob,kalman_prob,blended_prob
1974-12-31,0.9767554066434664,0.0002116869777283,0.021326951257208,0.0017059551215973,recession_prob,0.977608384204265,0.1770345886882568,0.830449364193655
1975-01-31,0.9767554066434664,0.0002116869777283,0.021326951257208,0.0017059551215973,recession_prob,0.977608384204265,0.1248627760252945,0.7585770376500239
1975-02-28,0.9767554066434664,0.0002116869777283,0.021326951257208,0.0017059551215973,recession_prob,0.977608384204265,0.1064423832583219,0.7332009501339068
1975-03-31,0.8098672892019646,5.670501209607059e-07,0.1873505568619343,0.00278158688598,recession_prob,0.8112580826449546,0.0905768641177828,0.5964668083502709
1975-04-30,0.8098672892019646,5.670501209607059e-07,0.1873505568619343,0.00278158688598,recession_prob,0.8112580826449546,0.0980714214032312,0.605544651438116
1975-05-31,0.8098672892019646,5.670501209607059e-07,0.1873505568619343,0.00278158688598,recession_prob,0.8112580826449546,0.1263057629018028,0.6397437257864187
1975-06-30,0.3531698496897877,0.0005958892825404,0.135566571443033,0.5106676895846387,ralentissement_prob,0.6085036944821072,0.1555123116192784,0.5219369574947593
1975-07-31,0.3531698496897877,0.0005958892825404,0.135566571443033,0.5106676895846387,ralentissement_prob,0.6085036944821072,0.2031331007420127,0.5699626992591902
1975-08-31,0.3531698496897877,0.0005958892825404,0.135566571443033,0.5106676895846387,ralentissement_prob,0.6085036944821072,0.272000656691799,0.6394158838645029
1975-09-30,0.0306786057466725,0.0003602424668491,0.0710395298201019,0.8979216219663763,ralentissement_prob,0.4796394167298607,0.3271777694496205,0.5755821123235574
1975-10-31,0.0306786057466725,0.0003602424668491,0.0710395298201019,0.8979216219663763,ralentissement_prob,0.4796394167298607,0.3963123369500816,0.6363956029555342
1975-11-30,0.0306786057466725,0.0003602424668491,0.0710395298201019,0.8979216219663763,ralentissement_prob,0.4796394167298607,0.4339730350434712,0.6695234374600427
